num,Q78,Q95,Accuracy_Rate1,Q96,Q97,Accuracy_Rate2,Q84,Q100,Accuracy_Rate3,Q101,Q102,Accuracy_Rate4,Q107,Q108,Accuracy_Rate5,Q109,Q110,Accuracy_Rate6,Avg_Accuracy_Rate_1_2,Avg_Accuracy_Rate_3_4,Avg_Accuracy_Rate_5_6,team_exp_rating,ai_exp_rating,data_skill_rating
68,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would not remove anyone,50.0,It doesn't matter: the change is very minor and it may create other problems,It doesn't matter: the change is very minor and it may create other problems,50.0,I would not remove anyone,I would not remove anyone,50.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,50.0,75.0,LOW,LOW,HIGH
69,I would remove Cam,I would remove Eve,50.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,75.0,75.0,100.0,LOW,LOW,HIGH
70,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would remove Ben,50.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,75.0,75.0,HIGH,LOW,HIGH
71,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,75.0,100.0,LOW,LOW,LOW
72,I would remove Cam,I would remove Eve,50.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,75.0,75.0,100.0,LOW,LOW,HIGH
73,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,75.0,100.0,HIGH,HIGH,LOW
74,I would remove Cam,"Not sure, I can't tell",50.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,It doesn't matter: the change is very minor and it may create other problems,"Yes, Tim should move to Team 18",100.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12",It doesn't matter: the change is very minor and it would create other problems,50.0,75.0,100.0,75.0,LOW,LOW,HIGH
75,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,75.0,100.0,LOW,HIGH,HIGH
76,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,It doesn't matter: the change is very minor and it may create other problems,"Yes, Tim should move to Team 18",100.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,100.0,100.0,LOW,HIGH,HIGH
77,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12",It doesn't matter: the change is very minor and it would create other problems,50.0,100.0,75.0,75.0,HIGH,HIGH,LOW
78,I would remove Cam,I would remove Han,50.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,75.0,75.0,100.0,LOW,LOW,HIGH
79,I would remove Bob,I would not remove anyone,50.0,It doesn't matter: the change is very minor and it would create other problems,"Yes, Nia should move to Team 14",50.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would not remove anyone,I would not remove anyone,50.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,50.0,75.0,75.0,LOW,LOW,HIGH
80,I would remove Cam,I would remove Gon,50.0,"Yes, Minh should move to Team 12","No, Nia should not move to Team 14",0.0,I would not remove anyone,I would remove Ray,100.0,"Yes, Sam should move to Team 16",It doesn't matter: the change is very minor and it may create other problems,0.0,I would remove Wen,I would remove Ben,0.0,It doesn't matter: the change is very minor and it would create other problems,It doesn't matter: the change is very minor and it would create other problems,0.0,25.0,50.0,0.0,HIGH,LOW,LOW
81,There is no impact on the team no matter who is removed from it,I would remove Han,0.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would remove Ken,I would remove Quan,0.0,It doesn't matter: the change is very minor and it may create other problems,"No, Tim should not move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"No, Rue should not move to Team 12","No, Sage should not move to Team 16",50.0,50.0,25.0,75.0,LOW,LOW,LOW
82,I would remove Cam,I would remove Eve,50.0,"No, Minh should not move to Team 12","No, Nia should not move to Team 14",50.0,I would not remove anyone,I would remove Ray,100.0,"Yes, Sam should move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,50.0,75.0,100.0,LOW,LOW,HIGH
83,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,It doesn't matter: the change is very minor and it would create other problems,It doesn't matter: the change is very minor and it would create other problems,0.0,100.0,75.0,50.0,HIGH,HIGH,HIGH
84,I would remove Cam,"Not sure, I can't tell",50.0,"Not sure, I can't tell","Yes, Nia should move to Team 14",50.0,I would not remove anyone,I would remove Ray,100.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,I would remove Val,I would not remove anyone,100.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,50.0,50.0,50.0,LOW,LOW,HIGH
85,I would remove Cam,I would not remove anyone,100.0,It doesn't matter: the change is very minor and it would create other problems,"Yes, Nia should move to Team 14",50.0,I would not remove anyone,I would not remove anyone,50.0,"Yes, Sam should move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","Yes, Sage should move to Team 16",50.0,75.0,50.0,75.0,HIGH,LOW,HIGH
86,I would remove Cam,"Not sure, I can't tell",50.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,75.0,75.0,100.0,HIGH,LOW,HIGH
87,I would remove Cam,I would not remove anyone,100.0,"Yes, Minh should move to Team 12","Yes, Nia should move to Team 14",50.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,75.0,75.0,100.0,LOW,HIGH,HIGH
88,I would remove Cam,"Not sure, I can't tell",50.0,"No, Minh should not move to Team 12","Not sure, I can't tell",50.0,I would not remove anyone,I would remove Ray,100.0,It doesn't matter: the change is very minor and it may create other problems,"Not sure, I can't tell",50.0,I would remove Val,"Not sure, I can't tell",50.0,It doesn't matter: the change is very minor and it would create other problems,"Not sure, I can't tell",0.0,50.0,75.0,25.0,HIGH,HIGH,LOW
89,I would remove Cam,I would remove Fani,50.0,"Yes, Minh should move to Team 12","No, Nia should not move to Team 14",0.0,I would remove Ivy,I would remove Quan,0.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,"Not sure, I can't tell",I would not remove anyone,50.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,25.0,25.0,75.0,HIGH,HIGH,LOW
90,I would remove Cam,"Not sure, I can't tell",50.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12",It doesn't matter: the change is very minor and it would create other problems,50.0,75.0,75.0,75.0,HIGH,HIGH,HIGH
91,I would remove Cam,I would remove Han,50.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,75.0,75.0,100.0,HIGH,LOW,HIGH
92,I would remove Dan,"Not sure, I can't tell",0.0,"Yes, Minh should move to Team 12","No, Nia should not move to Team 14",0.0,I would remove Jan,I would remove Ray,50.0,"Yes, Sam should move to Team 16","No, Tim should not move to Team 18",0.0,I would remove Uma,I would remove Zach,0.0,It doesn't matter: the change is very minor and it would create other problems,"No, Sage should not move to Team 16",50.0,0.0,25.0,25.0,HIGH,LOW,LOW
93,I would remove Cam,I would not remove anyone,100.0,"Yes, Minh should move to Team 12","No, Nia should not move to Team 14",0.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would not remove anyone,I would not remove anyone,50.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,50.0,75.0,75.0,LOW,LOW,HIGH
94,There is no impact on the team no matter who is removed from it,I would not remove anyone,50.0,It doesn't matter: the change is very minor and it would create other problems,It doesn't matter: the change is very minor and it would create other problems,0.0,I would not remove anyone,I would not remove anyone,50.0,It doesn't matter: the change is very minor and it may create other problems,It doesn't matter: the change is very minor and it may create other problems,50.0,I would not remove anyone,I would not remove anyone,50.0,It doesn't matter: the change is very minor and it would create other problems,It doesn't matter: the change is very minor and it would create other problems,0.0,25.0,50.0,25.0,LOW,HIGH,HIGH
95,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,75.0,100.0,HIGH,LOW,HIGH
96,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,75.0,100.0,HIGH,LOW,HIGH
97,There is no impact on the team no matter who is removed from it,I would not remove anyone,50.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Peg,50.0,"No, Sam should not move to Team 16","No, Tim should not move to Team 18",0.0,I would remove Val,I would not remove anyone,100.0,"No, Rue should not move to Team 12","No, Sage should not move to Team 16",50.0,75.0,25.0,75.0,LOW,HIGH,HIGH
98,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,75.0,100.0,HIGH,HIGH,LOW
99,I would remove Cam,"Not sure, I can't tell",50.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,It doesn't matter: the change is very minor and it may create other problems,"Yes, Tim should move to Team 18",100.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,75.0,100.0,100.0,LOW,LOW,HIGH
100,I would remove Bob,I would remove Fani,0.0,"No, Minh should not move to Team 12","No, Nia should not move to Team 14",50.0,I would remove Jan,I would remove Quan,0.0,It doesn't matter: the change is very minor and it may create other problems,"No, Tim should not move to Team 18",50.0,I would remove Val,I would remove Cass,50.0,"No, Rue should not move to Team 12","No, Sage should not move to Team 16",50.0,25.0,25.0,50.0,LOW,LOW,HIGH
101,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,75.0,100.0,LOW,LOW,LOW
102,I would remove Cam,I would not remove anyone,100.0,It doesn't matter: the change is very minor and it would create other problems,"Yes, Nia should move to Team 14",50.0,I would remove Jan,I would remove Peg,0.0,It doesn't matter: the change is very minor and it may create other problems,"Yes, Tim should move to Team 18",100.0,I would remove Wen,I would remove Ada,0.0,"No, Rue should not move to Team 12","No, Sage should not move to Team 16",50.0,75.0,50.0,25.0,HIGH,LOW,HIGH
103,There is no impact on the team no matter who is removed from it,I would not remove anyone,50.0,"Yes, Minh should move to Team 12",It doesn't matter: the change is very minor and it would create other problems,0.0,I would not remove anyone,I would not remove anyone,50.0,It doesn't matter: the change is very minor and it may create other problems,"Yes, Tim should move to Team 18",100.0,I would remove Val,I would not remove anyone,100.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,25.0,75.0,50.0,HIGH,HIGH,HIGH
104,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,75.0,100.0,LOW,HIGH,LOW
105,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"No, Rue should not move to Team 12","No, Sage should not move to Team 16",50.0,100.0,75.0,75.0,LOW,LOW,HIGH
106,I would remove Cam,I would remove Fani,50.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,It doesn't matter: the change is very minor and it may create other problems,"Yes, Tim should move to Team 18",100.0,I would remove Val,I would not remove anyone,100.0,It doesn't matter: the change is very minor and it would create other problems,"Yes, Sage should move to Team 16",0.0,75.0,100.0,50.0,HIGH,LOW,LOW
107,I would remove Cam,"Not sure, I can't tell",50.0,It doesn't matter: the change is very minor and it would create other problems,"Yes, Nia should move to Team 14",50.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,50.0,75.0,100.0,LOW,LOW,HIGH
108,I would remove Cam,I would not remove anyone,100.0,"Yes, Minh should move to Team 12","No, Nia should not move to Team 14",0.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,50.0,75.0,100.0,HIGH,LOW,HIGH
109,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,75.0,100.0,LOW,LOW,HIGH
110,There is no impact on the team no matter who is removed from it,"Not sure, I can't tell",0.0,"Not sure, I can't tell",It doesn't matter: the change is very minor and it would create other problems,0.0,"Not sure, I can't tell",I would not remove anyone,0.0,"Not sure, I can't tell",It doesn't matter: the change is very minor and it may create other problems,0.0,I would not remove anyone,"Not sure, I can't tell",0.0,It doesn't matter: the change is very minor and it would create other problems,"No, Sage should not move to Team 16",50.0,0.0,0.0,25.0,HIGH,HIGH,HIGH
111,I would remove Cam,I would not remove anyone,100.0,"Yes, Minh should move to Team 12","Yes, Nia should move to Team 14",50.0,I would remove Ivy,I would remove Olu,0.0,"Yes, Sam should move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Uma,I would remove Zach,0.0,"Yes, Rue should move to Team 12","Yes, Sage should move to Team 16",50.0,75.0,25.0,25.0,LOW,LOW,HIGH
112,I would remove Dan,I would not remove anyone,50.0,It doesn't matter: the change is very minor and it would create other problems,"Yes, Nia should move to Team 14",50.0,I would not remove anyone,I would remove Ray,100.0,It doesn't matter: the change is very minor and it may create other problems,"Yes, Tim should move to Team 18",100.0,I would not remove anyone,I would not remove anyone,50.0,It doesn't matter: the change is very minor and it would create other problems,It doesn't matter: the change is very minor and it would create other problems,0.0,50.0,100.0,25.0,HIGH,LOW,LOW
113,I would remove Cam,I would not remove anyone,100.0,"Yes, Minh should move to Team 12","Yes, Nia should move to Team 14",50.0,I would not remove anyone,I would remove Peg,50.0,"Yes, Sam should move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Uma,I would not remove anyone,50.0,It doesn't matter: the change is very minor and it would create other problems,It doesn't matter: the change is very minor and it would create other problems,0.0,75.0,50.0,25.0,LOW,LOW,HIGH
114,There is no impact on the team no matter who is removed from it,I would not remove anyone,50.0,It doesn't matter: the change is very minor and it would create other problems,It doesn't matter: the change is very minor and it would create other problems,0.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,"Yes, Sam should move to Team 16","Yes, Tim should move to Team 18",50.0,I would not remove anyone,I would not remove anyone,50.0,It doesn't matter: the change is very minor and it would create other problems,It doesn't matter: the change is very minor and it would create other problems,0.0,25.0,25.0,25.0,LOW,LOW,LOW
115,I would remove Cam,I would remove Fani,50.0,It doesn't matter: the change is very minor and it would create other problems,"Not sure, I can't tell",0.0,I would remove Jan,I would remove Quan,0.0,It doesn't matter: the change is very minor and it may create other problems,"No, Tim should not move to Team 18",50.0,I would remove Wen,I would remove Ada,0.0,"No, Rue should not move to Team 12","No, Sage should not move to Team 16",50.0,25.0,25.0,25.0,LOW,HIGH,LOW
116,I would remove Cam,I would not remove anyone,100.0,"Not sure, I can't tell",It doesn't matter: the change is very minor and it would create other problems,0.0,"Not sure, I can't tell",I would not remove anyone,0.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Wen,I would remove Ben,0.0,"Not sure, I can't tell","No, Sage should not move to Team 16",50.0,50.0,25.0,25.0,LOW,LOW,LOW
117,I would remove Cam,"Not sure, I can't tell",50.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would not remove anyone,I would not remove anyone,50.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,75.0,75.0,25.0,HIGH,HIGH,HIGH
118,"Not sure, I can't tell",I would remove Han,0.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,50.0,75.0,100.0,HIGH,LOW,HIGH
119,I would remove Cam,I would not remove anyone,100.0,It doesn't matter: the change is very minor and it would create other problems,"Yes, Nia should move to Team 14",50.0,I would not remove anyone,I would remove Ray,100.0,It doesn't matter: the change is very minor and it may create other problems,"Yes, Tim should move to Team 18",100.0,I would remove Val,I would not remove anyone,100.0,It doesn't matter: the change is very minor and it would create other problems,"No, Sage should not move to Team 16",50.0,75.0,100.0,75.0,HIGH,LOW,HIGH
120,I would remove Bob,I would not remove anyone,50.0,"Yes, Minh should move to Team 12","Yes, Nia should move to Team 14",50.0,I would remove Jan,I would remove Peg,0.0,"No, Sam should not move to Team 16","No, Tim should not move to Team 18",0.0,I would remove Val,I would remove Cass,50.0,It doesn't matter: the change is very minor and it would create other problems,"Not sure, I can't tell",0.0,50.0,0.0,25.0,LOW,HIGH,LOW
121,I would remove Bob,I would not remove anyone,50.0,"Yes, Minh should move to Team 12","No, Nia should not move to Team 14",0.0,I would not remove anyone,I would remove Peg,50.0,It doesn't matter: the change is very minor and it may create other problems,"Yes, Tim should move to Team 18",100.0,I would remove Val,I would not remove anyone,100.0,"No, Rue should not move to Team 12","No, Sage should not move to Team 16",50.0,25.0,75.0,75.0,HIGH,LOW,LOW
122,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"Yes, Sam should move to Team 16","Yes, Tim should move to Team 18",50.0,I would not remove anyone,I would not remove anyone,50.0,"Not sure, I can't tell","Yes, Sage should move to Team 16",0.0,100.0,75.0,25.0,LOW,LOW,HIGH
123,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,It doesn't matter: the change is very minor and it may create other problems,"Yes, Tim should move to Team 18",100.0,I would remove Val,I would not remove anyone,100.0,"No, Rue should not move to Team 12","No, Sage should not move to Team 16",50.0,100.0,100.0,75.0,HIGH,HIGH,LOW
124,I would remove Cam,I would not remove anyone,100.0,"Yes, Minh should move to Team 12","No, Nia should not move to Team 14",0.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,50.0,75.0,100.0,LOW,LOW,LOW
125,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would not remove anyone,50.0,It doesn't matter: the change is very minor and it may create other problems,It doesn't matter: the change is very minor and it may create other problems,50.0,I would remove Uma,I would not remove anyone,50.0,"No, Rue should not move to Team 12","No, Sage should not move to Team 16",50.0,100.0,50.0,50.0,LOW,LOW,LOW
126,I would remove Cam,I would not remove anyone,100.0,It doesn't matter: the change is very minor and it would create other problems,It doesn't matter: the change is very minor and it would create other problems,0.0,I would not remove anyone,I would remove Ray,100.0,"Yes, Sam should move to Team 16","No, Tim should not move to Team 18",0.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","Yes, Sage should move to Team 16",50.0,50.0,50.0,75.0,LOW,LOW,HIGH
127,I would remove Ann,I would not remove anyone,50.0,"Yes, Minh should move to Team 12","Yes, Nia should move to Team 14",50.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would remove Zach,50.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,50.0,75.0,75.0,HIGH,HIGH,HIGH
128,I would remove Cam,I would not remove anyone,100.0,It doesn't matter: the change is very minor and it would create other problems,"Yes, Nia should move to Team 14",50.0,I would not remove anyone,I would remove Ray,100.0,It doesn't matter: the change is very minor and it may create other problems,"Yes, Tim should move to Team 18",100.0,I would remove Val,"Not sure, I can't tell",50.0,"No, Rue should not move to Team 12","No, Sage should not move to Team 16",50.0,75.0,100.0,50.0,HIGH,HIGH,HIGH
129,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"No, Rue should not move to Team 12","Yes, Sage should move to Team 16",0.0,100.0,75.0,50.0,LOW,HIGH,HIGH
130,I would remove Cam,I would remove Han,50.0,"No, Minh should not move to Team 12",It doesn't matter: the change is very minor and it would create other problems,50.0,I would remove Jan,I would remove Quan,0.0,"Yes, Sam should move to Team 16",It doesn't matter: the change is very minor and it may create other problems,0.0,I would remove Wen,"Not sure, I can't tell",0.0,"Not sure, I can't tell","No, Sage should not move to Team 16",50.0,50.0,0.0,25.0,LOW,LOW,LOW
131,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,"Not sure, I can't tell",I would not remove anyone,50.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,75.0,75.0,LOW,LOW,HIGH
132,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"Not sure, I can't tell","No, Tim should not move to Team 18",0.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,50.0,100.0,LOW,LOW,HIGH
133,I would remove Cam,"Not sure, I can't tell",50.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"Not sure, I can't tell","Yes, Tim should move to Team 18",50.0,I would remove Val,"Not sure, I can't tell",50.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,75.0,75.0,75.0,LOW,LOW,HIGH
134,I would remove Cam,I would remove Han,50.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,75.0,75.0,100.0,HIGH,LOW,HIGH
135,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,75.0,100.0,LOW,LOW,HIGH
136,I would remove Cam,"Not sure, I can't tell",50.0,"Yes, Minh should move to Team 12","Yes, Nia should move to Team 14",50.0,I would not remove anyone,I would remove Ray,100.0,"Yes, Sam should move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,50.0,75.0,50.0,LOW,LOW,LOW
